Country Name,Date,Total Population,Mobile subscribers,Health:mortality under-5,Internet users per 100 people,GDP per capita,Mobile subscribers per capita,log(GDP per capita),log(Health:mortality under-5),Region
Grenada,7/1/2000,101522,4300,15,4,5120,0.042355,8.540910,2.708050,The Americas
Mexico,7/1/2000,99959594,14077880,29,5,5817,0.140836,8.668540,3.367296,The Americas
Trinidad and Tobago,7/1/2000,1292058,161860,32,8,6311,0.125273,8.750049,3.465736,The Americas
Uruguay,7/1/2000,3300847,410787,17,11,6914,0.124449,8.841304,2.833213,The Americas
Argentina,7/1/2000,36930709,6487950,20,7,7696,0.175679,8.948456,2.995732,The Americas
St. Kitts and Nevis,7/1/2000,44286,1200,16,6,8599,0.027097,9.059401,2.772589,The Americas
Barbados,7/1/2000,267511,28467,17,4,9565,0.106414,9.165866,2.833213,The Americas
Antigua and Barbuda,7/1/2000,77656,22000,15,6,10334,0.283301,9.243195,2.708050,The Americas
"Bahamas, The",7/1/2000,297651,31524,17,8,21258,0.105909,9.964489,2.833213,The Americas
"Congo, Dem. Rep.",7/1/2010,65965795,11820348,170,1,199,0.179189,5.293305,5.135798,Africa
Burundi,7/1/2010,8382849,1150500,142,2,242,0.137245,5.488938,4.955827,Africa
Liberia,7/1/2010,3994122,1571308,103,7,247,0.393405,5.509388,4.634729,Africa
Malawi,7/1/2010,14900841,3037469,92,2,339,0.203845,5.826000,4.521789,Africa
Niger,7/1/2010,15511953,3805592,143,1,349,0.245333,5.855072,4.962845,Africa
Ethiopia,7/1/2010,82949541,6854000,106,1,358,0.082629,5.880533,4.663439,Africa
Mozambique,7/1/2010,23390765,7224176,135,4,394,0.308847,5.976351,4.905275,Africa
Eritrea,7/1/2010,5253676,185275,61,5,403,0.035266,5.998937,4.110874,Africa
Madagascar,7/1/2010,20713819,7711721,62,2,421,0.372298,6.042633,4.127134,Africa
Central African Republic,7/1/2010,4401051,979232,159,2,451,0.222500,6.111467,5.068904,Africa
Guinea,7/1/2010,9981590,4000000,130,1,474,0.400738,6.161207,4.867534,Africa
Uganda,7/1/2010,33424683,12828264,99,13,515,0.383796,6.244167,4.595120,Africa
Tanzania,7/1/2010,44841226,20983853,92,11,527,0.467959,6.267201,4.521789,Africa
Togo,7/1/2010,6027798,2452433,103,5,527,0.406854,6.267201,4.634729,Africa
